City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,shimanovsk,52.0,127.7,1.73,74,1,3.78,RU,1696537647
327,bayganin,48.6947,55.8742,13.66,69,100,2.76,KZ,1696537647
328,vernon,50.2581,-119.2691,19.74,50,86,0.51,CA,1696537647
329,sarikei,2.1167,111.5167,23.94,98,100,0.56,MY,1696537647
330,jabor,5.921,169.6434,25.94,87,100,0.61,MH,1696537647
331,massawa,15.6097,39.45,31.43,67,0,3.39,ER,1696537647
332,korla,41.7597,86.1469,18.07,25,2,4.34,CN,1696537648
333,olavarria,-36.8927,-60.3225,21.61,31,92,6.37,AR,1696537434
334,zambezi,-13.5432,23.1047,26.62,25,75,1.4,ZM,1696537648
335,paciran,-6.8767,112.3761,26.07,83,71,3.05,ID,1696537648
336,bandon,51.7469,-8.7425,15.77,97,100,7.73,IE,1696537648
337,ratnagiri,16.9833,73.3,25.31,91,29,2.96,IN,1696537648
338,san juan,-31.5375,-68.5364,25.96,12,3,8.67,AR,1696537416
339,pont-sainte-maxence,49.3017,2.6047,15.64,63,100,1.58,FR,1696537648
340,saynshand,44.8824,110.1163,9.83,24,100,3.55,MN,1696537649
341,patterson,37.4716,-121.1297,32.64,37,0,2.59,US,1696537649
342,somerset,40.5668,-74.5496,27.12,67,75,2.57,US,1696537649
343,banda aceh,5.5577,95.3222,26.25,84,99,4.96,ID,1696537457
344,tashtyp,52.7939,89.8983,4.85,83,47,1.71,RU,1696537649
345,alibag,18.6411,72.8792,28.04,85,34,1.77,IN,1696537649
346,capao bonito,-24.0058,-48.3494,18.01,95,75,3.9,BR,1696537649
347,mangai,-4.05,19.5333,24.6,63,27,0.93,CD,1696537650
348,kimbe,-5.5502,150.1429,24.44,89,70,2.15,PG,1696537650
349,maxixe,-23.8597,35.3472,21.05,87,0,4.53,MZ,1696537650
350,kuala tungkal,-0.8167,103.4667,26.48,83,9,3.02,ID,1696537650
351,mili,6.0815,171.735,28.0,74,85,1.21,MH,1696537650
352,orange beach,30.2944,-87.5736,28.19,71,40,3.6,US,1696537650
353,khmilnyk,49.5598,27.9575,12.29,54,100,4.21,UA,1696537566
354,acarau,-2.8856,-40.12,28.04,63,50,8.94,BR,1696537651
355,alpena,45.0617,-83.4327,19.14,92,100,4.12,US,1696537651
356,taulaga,-11.0553,-171.0883,27.55,79,24,6.01,AS,1696537651
357,ust'-kulom,61.6864,53.6902,4.32,95,52,1.86,RU,1696537651
358,agadez,19.75,10.25,28.16,19,0,3.49,NE,1696537651
359,constantia,44.1833,28.65,16.5,84,81,3.09,RO,1696537591
360,kill devil hills,36.0307,-75.676,28.0,80,100,3.6,US,1696537653
361,fort st. john,56.2499,-120.8529,5.94,39,75,4.63,CA,1696537653
362,tippi,7.2,35.45,17.75,95,40,1.59,ET,1696537653
